order_id,name,order_date,revenue,is_new_customer,click_id,utm_source,utm_medium,utm_campaign
wc_1,#WC1,2025-01-01,39.35,True,,,,
wc_2,#WC2,2025-01-01,28.91,True,,,,
wc_3,#WC3,2025-01-03,48.67,False,,,,
wc_4,#WC4,2025-01-03,27.4,False,,,,
wc_5,#WC5,2025-01-03,37.53,True,,,,
wc_6,#WC6,2025-01-03,38.03,False,,,,
wc_7,#WC7,2025-01-03,28.0,True,,,,
wc_8,#WC8,2025-01-03,81.66,False,,,,
wc_9,#WC9,2025-01-03,26.87,True,,,,
wc_10,#WC10,2025-01-05,27.76,True,,,,
wc_11,#WC11,2025-01-05,60.49,False,fbclid_9,meta,cpc,meta_conv
wc_12,#WC12,2025-01-05,73.83,True,,,,
wc_13,#WC13,2025-01-05,72.51,True,,,,
wc_14,#WC14,2025-01-05,80.59,True,,,,
wc_15,#WC15,2025-01-05,39.42,True,,,,
wc_16,#WC16,2025-01-18,15,False,,,,
wc_17,#WC17,2025-01-18,15,True,pin__728,pinterest,cpc,pin_aware
wc_18,#WC18,2025-01-18,67.91,True,,,,
wc_19,#WC19,2025-01-18,73.3,True,,,,
wc_20,#WC20,2025-01-18,50.97,False,,,,
wc_21,#WC21,2025-01-18,15,True,,,,
wc_22,#WC22,2025-01-18,52.48,True,pin__376,pinterest,cpc,pin_aware
wc_23,#WC23,2025-01-18,57.09,False,,,,
wc_24,#WC24,2025-01-23,60.31,True,pin__869,pinterest,cpc,pin_aware
wc_25,#WC25,2025-01-23,68.13,False,bing__225,bing,cpc,bing_shop
wc_26,#WC26,2025-01-23,49.5,False,,,,
wc_27,#WC27,2025-01-25,62.71,True,fbclid_312,meta,cpc,meta_ret
wc_28,#WC28,2025-01-25,105.49,False,fbclid_586,meta,cpc,meta_br
wc_29,#WC29,2025-01-25,63.75,True,,,,
wc_30,#WC30,2025-01-27,39.59,False,,,,
wc_31,#WC31,2025-01-27,61.27,True,,,,
wc_32,#WC32,2025-01-27,22.18,False,fbclid_297,meta,cpc,meta_br
wc_33,#WC33,2025-01-27,53.62,False,,,,
wc_34,#WC34,2025-01-27,15,True,pin__130,pinterest,cpc,pin_aware
wc_35,#WC35,2025-01-27,118.67,True,gclid_166,google,cpc,goog_pmax
wc_36,#WC36,2025-01-27,79.32,True,,,,
wc_37,#WC37,2025-01-27,57.48,True,,,,
wc_38,#WC38,2025-01-28,15,True,,,,
wc_39,#WC39,2025-01-28,74.5,True,,,,
wc_40,#WC40,2025-01-29,119.21,False,,,,
wc_41,#WC41,2025-01-29,61.42,True,,,,
wc_42,#WC42,2025-01-29,56.5,False,fbclid_734,meta,cpc,meta_br
wc_43,#WC43,2025-01-29,58.06,True,,,,
wc_44,#WC44,2025-01-29,79.55,True,,,,
wc_45,#WC45,2025-01-29,27.63,True,fbclid_789,meta,cpc,meta_conv
wc_46,#WC46,2025-01-29,52.7,True,,,,
wc_47,#WC47,2025-01-29,15,True,fbclid_745,meta,cpc,meta_ret
wc_48,#WC48,2025-01-30,71.5,True,,,,
wc_49,#WC49,2025-01-30,44.38,True,,,,
wc_50,#WC50,2025-01-30,104.53,False,bing__623,bing,cpc,bing_shop
wc_51,#WC51,2025-01-30,65.82,False,fbclid_137,meta,cpc,meta_br
wc_52,#WC52,2025-01-30,44.69,True,bing__761,bing,cpc,bing_search
wc_53,#WC53,2025-01-30,69.44,False,,,,
wc_54,#WC54,2025-02-01,44.4,False,pin__1159,pinterest,cpc,pin_conv
wc_55,#WC55,2025-02-03,81.08,False,,,,
wc_56,#WC56,2025-02-03,60.82,True,,,,
wc_57,#WC57,2025-02-03,71.6,True,pin__335,pinterest,cpc,pin_conv
wc_58,#WC58,2025-02-03,15,True,pin__581,pinterest,cpc,pin_conv
wc_59,#WC59,2025-02-03,84.65,True,,,,
wc_60,#WC60,2025-02-03,22.52,False,,,,
wc_61,#WC61,2025-02-03,62.87,True,,,,
wc_62,#WC62,2025-02-03,43.6,True,,,,
wc_63,#WC63,2025-02-10,76.38,False,gclid_1223,google,cpc,goog_pmax
wc_64,#WC64,2025-02-11,32.17,False,,,,
wc_65,#WC65,2025-02-11,57.33,False,,,,
wc_66,#WC66,2025-02-11,62.64,False,pin__872,pinterest,cpc,pin_aware
wc_67,#WC67,2025-02-11,88.99,False,,,,
wc_68,#WC68,2025-02-11,27.48,True,,,,
wc_69,#WC69,2025-02-11,100.06,True,,,,
wc_70,#WC70,2025-02-11,35.75,True,,,,
wc_71,#WC71,2025-02-11,23.25,True,,,,
wc_72,#WC72,2025-02-14,101.49,True,,,,
wc_73,#WC73,2025-02-14,47.66,True,,,,
wc_74,#WC74,2025-02-14,24.66,False,,,,
wc_75,#WC75,2025-02-14,64.32,False,fbclid_1514,meta,cpc,meta_ret
wc_76,#WC76,2025-02-15,57.7,False,,,,
wc_77,#WC77,2025-02-15,38.58,False,,,,
wc_78,#WC78,2025-02-15,47.39,False,,,,
wc_79,#WC79,2025-02-15,53.52,False,,,,
wc_80,#WC80,2025-02-16,67.16,False,,,,
wc_81,#WC81,2025-02-16,63.85,False,,,,
wc_82,#WC82,2025-02-16,89.46,False,,,,
wc_83,#WC83,2025-02-17,103.74,True,,,,
wc_84,#WC84,2025-02-17,107.12,True,fbclid_933,meta,cpc,meta_br
wc_85,#WC85,2025-02-17,45.74,True,,,,
wc_86,#WC86,2025-02-17,46.58,False,,,,
wc_87,#WC87,2025-02-17,40.11,True,,,,
wc_88,#WC88,2025-02-17,73.21,True,,,,
wc_89,#WC89,2025-02-17,77.09,False,,,,
wc_90,#WC90,2025-02-18,39.87,True,,,,
wc_91,#WC91,2025-02-18,35.22,True,,,,
wc_92,#WC92,2025-02-18,46.34,True,,,,
wc_93,#WC93,2025-02-20,107.1,True,fbclid_980,meta,cpc,meta_br
wc_94,#WC94,2025-02-20,35.2,False,,,,
wc_95,#WC95,2025-02-20,32.04,False,gclid_1344,google,cpc,goog_search
wc_96,#WC96,2025-02-20,68.68,False,gclid_2243,google,cpc,goog_search
wc_97,#WC97,2025-02-20,26.95,False,,,,
wc_98,#WC98,2025-02-20,101.13,True,,,,
wc_99,#WC99,2025-02-20,67.14,True,pin__2128,pinterest,cpc,pin_aware
wc_100,#WC100,2025-02-20,74.18,True,,,,
wc_101,#WC101,2025-02-21,33.38,True,,,,
wc_102,#WC102,2025-02-21,16.14,True,fbclid_307,meta,cpc,meta_ret
wc_103,#WC103,2025-02-21,56.34,False,,,,
wc_104,#WC104,2025-02-21,84.53,True,,,,
wc_105,#WC105,2025-02-21,34.86,True,,,,
wc_106,#WC106,2025-02-21,94.38,True,,,,
wc_107,#WC107,2025-02-22,58.21,False,pin__2312,pinterest,cpc,pin_conv
wc_108,#WC108,2025-02-22,20.95,False,,,,
wc_109,#WC109,2025-02-22,57.6,False,,,,
wc_110,#WC110,2025-02-22,66.53,False,,,,
wc_111,#WC111,2025-02-22,58.12,True,fbclid_2237,meta,cpc,meta_ret
wc_112,#WC112,2025-02-22,31.06,False,,,,
wc_113,#WC113,2025-02-22,83.68,True,,,,
wc_114,#WC114,2025-02-23,74.55,False,,,,
wc_115,#WC115,2025-02-23,28.87,False,,,,
wc_116,#WC116,2025-02-23,61.42,True,,,,
wc_117,#WC117,2025-02-23,18.38,True,,,,
wc_118,#WC118,2025-02-23,100.78,False,,,,
wc_119,#WC119,2025-02-23,87.74,False,pin__2453,pinterest,cpc,pin_conv
wc_120,#WC120,2025-02-23,17.45,True,,,,
wc_121,#WC121,2025-02-23,110.97,True,,,,
wc_122,#WC122,2025-02-25,65.83,False,,,,
wc_123,#WC123,2025-02-25,96.52,True,,,,
wc_124,#WC124,2025-02-25,74.29,False,,,,
wc_125,#WC125,2025-03-01,15,True,,,,
wc_126,#WC126,2025-03-01,41.14,True,fbclid_1174,meta,cpc,meta_ret
wc_127,#WC127,2025-03-01,38.36,True,,,,
wc_128,#WC128,2025-03-01,28.26,False,,,,
wc_129,#WC129,2025-03-01,91.52,False,,,,
wc_130,#WC130,2025-03-02,87.61,False,,,,
wc_131,#WC131,2025-03-02,33.97,False,,,,
wc_132,#WC132,2025-03-02,49.43,True,,,,
wc_133,#WC133,2025-03-02,39.32,False,,,,
wc_134,#WC134,2025-03-02,51.67,False,,,,
wc_135,#WC135,2025-03-04,94.52,False,,,,
wc_136,#WC136,2025-03-04,47.02,False,pin__487,pinterest,cpc,pin_conv
wc_137,#WC137,2025-03-04,70.96,False,pin__725,pinterest,cpc,pin_aware
wc_138,#WC138,2025-03-04,73.65,True,,,,
wc_139,#WC139,2025-03-04,53.03,True,fbclid_733,meta,cpc,meta_br
wc_140,#WC140,2025-03-10,74.03,False,,,,
wc_141,#WC141,2025-03-10,28.07,False,,,,
wc_142,#WC142,2025-03-10,35.99,False,bing__2210,bing,cpc,bing_shop
